Date,Forecast_Price
2026-01-05,91081.83649843598
2026-01-06,91046.69854987791
2026-01-07,91025.93623117528
2026-01-08,91012.6225380414
2026-01-09,91010.47677342276
2026-01-10,91011.66942534191
2026-01-11,91012.31425190528
2026-01-12,91012.68452607082
2026-01-13,91012.79749008152
2026-01-14,91012.78183970902
2026-01-15,91012.76011332533
2026-01-16,91012.74921254757
2026-01-17,91012.74507180467
2026-01-18,91012.74485361754
2026-01-19,91012.74543768291
2026-01-20,91012.74578689551
2026-01-21,91012.74592528527
2026-01-22,91012.74594954528
2026-01-23,91012.74593734149
2026-01-24,91012.7459265723
2026-01-25,91012.74592192398
2026-01-26,91012.7459207697
2026-01-27,91012.74592093087
2026-01-28,91012.74592123368
2026-01-29,91012.74592138783
2026-01-30,91012.74592143412
2026-01-31,91012.74592143566
2026-02-01,91012.74592142805
2026-02-02,91012.74592142316
2026-02-03,91012.74592142143
