ds,yhat,yhat_lower,yhat_upper
2022-01-01,44063.167770121705,35697.878090814826,52035.73153730935
2022-01-02,44145.20730076812,35914.78861053086,52591.89969175585
2022-01-03,44325.10271759295,36641.76409107267,52042.62826550576
2022-01-04,44302.09774130033,36379.02251998342,52192.00816523952
2022-01-05,44583.73981148863,36706.23847953283,52804.74624219869
2022-01-06,44443.35076278302,35764.70497759472,52584.0095836577
2022-01-07,44436.16112532614,36465.27929316877,52147.85948356163
2022-01-08,44485.256026421535,36602.516560001764,52866.24453799979
2022-01-09,44624.24153038699,36738.835325223954,53292.560220124215
2022-01-10,44832.45965432381,36824.225002805346,53791.088598160204
2022-01-11,44809.41497732634,36408.07487298063,53258.16223054065
2022-01-12,45063.63001937883,37208.397699894085,53214.37076228852
2022-01-13,44870.07817080083,37030.49488752014,52516.12544003533
2022-01-14,44786.26182172255,36938.24720353031,52538.39426767482
2022-01-15,44738.08543817463,36461.5269821746,52833.881127703804
2022-01-16,44762.4346591578,36318.37100772536,52801.984895470836
2022-01-17,44842.29228982894,36710.96043955228,52772.299995889276
2022-01-18,44681.057066842055,36649.18458247474,52923.58330075362
2022-01-19,44791.28556387692,36622.19998832645,52977.629975495925
2022-01-20,44452.00934884751,36281.510520206866,53020.58924447206
2022-01-21,44224.69841377156,36393.109060063594,52323.78662992993
2022-01-22,44039.023937536804,35565.72759887578,51773.39804684645
2022-01-23,43935.33461513241,35846.99844289159,52153.261353857204
2022-01-24,43899.68034158647,35957.363208270974,51615.74725063363
2022-01-25,43638.051709762374,35688.116621294925,52470.65343091575
2022-01-26,43665.05786923953,35381.05985316648,51839.666410040576
2022-01-27,43261.196571396926,35530.69309157891,51630.23864134324
2022-01-28,42988.7886221309,34785.69727946348,51168.81139691721
2022-01-29,42777.73045733357,35056.982701889065,50766.68724106296
2022-01-30,42667.97916805877,33913.92991839413,50981.38636586946
2022-01-31,42644.60329592617,33931.19358086029,51055.24819348154
2022-02-01,42412.066846438815,34500.80971127617,50502.65368094582
2022-02-02,42482.96754527943,34214.36429192127,50312.36386295896
2022-02-03,42135.381178040756,34046.93149090412,50409.52248063722
